"rt" "x" "id"
0.458974976520126 1 1
0.329689715000862 1 1
0.3526864487827 1 1
0.349587127726844 1 1
0.576760564265926 0 1
0.340585871485467 1 1
0.398606362870135 1 1
0.302299269136372 1 1
0.44804797853803 1 1
0.341928134087845 1 1
0.253469574925394 1 1
0.623699705041301 1 1
0.391443447165049 0 1
0.314720171586913 0 1
0.354410886715546 0 1
0.33072646366893 1 1
0.75808099284391 1 1
0.3610028152172 1 1
0.354790547653338 1 1
0.582166217294487 0 1
0.354169782335331 0 1
0.604805297039749 1 1
0.308371702947567 1 1
0.350224230543201 1 1
0.348866092410098 1 1
0.287044291769459 1 1
0.577392097602104 0 1
0.270163852681119 1 1
0.364687327109287 0 1
0.454141690303167 1 1
0.472310268575811 1 1
0.405884900867279 0 1
0.37238836556977 0 1
0.457824880516043 1 1
0.343449953804066 1 1
0.441710514191246 1 1
0.357127176144157 0 1
0.654947391798099 1 1
0.471058373949456 1 1
0.543965199365436 1 1
0.28498673844195 1 1
0.28927273287975 1 1
0.444877647413333 1 1
0.284827819028059 1 1
0.807070003304814 1 1
0.447250105644363 1 1
0.545541061577585 1 1
0.32165728282902 1 1
0.546036306734776 1 1
0.344531194271283 0 1
0.379300369789042 1 1
0.312660664943351 1 1
0.310641509985683 1 1
0.272401034608998 1 1
0.304439706266899 1 1
0.314261959013537 1 1
0.321122701806109 1 1
0.312944756162709 0 1
0.313039723740088 1 1
0.526248773283942 1 1
0.580459326251718 1 1
0.383320714477308 1 1
0.278878524176461 0 1
0.568494066494293 1 1
0.280194442133396 1 1
0.403020569354363 0 1
0.342882647134952 1 1
0.41630326791657 1 1
0.31989454081565 0 1
0.708627765282816 0 1
0.508654587306511 1 1
0.449138453317694 0 1
0.369195559182 1 1
0.451578890102623 0 1
0.378519589075375 1 1
0.423022104121045 1 1
0.358575835391189 1 1
0.345935539407575 1 1
0.285978036002284 1 1
0.345117480072934 1 1
0.306591564173582 1 1
0.358734183331984 1 1
1 1 1
0.451206426298991 0 1
0.391152834590287 0 1
0.495635458121891 1 1
0.381971072336406 1 1
0.325137325769152 1 1
0.289842133820348 1 1
0.273274887843738 1 1
0.409274362758266 1 1
0.431803144001483 1 1
0.454215437225875 0 1
0.417083429942373 1 1
0.32300657328098 1 1
0.43351280725777 0 1
0.283025647294214 0 1
0.797642204184251 1 1
0.541900152322888 1 1
0.358832559453212 0 1
0.49747663858819 1 2
0.710050359678404 0 2
0.597220895034134 0 2
0.459524748535291 1 2
0.665701646196438 0 2
0.400420267946035 1 2
0.500732977494583 0 2
0.465002404546646 1 2
0.414831928634208 0 2
0.436556604045303 1 2
0.458007238165114 0 2
0.420131057103171 0 2
0.381760885269238 0 2
0.485184638506163 1 2
0.398901831018904 0 2
0.428027157943024 0 2
0.504714122014249 1 2
0.425123592879731 0 2
0.690445051819888 0 2
0.609740018888539 0 2
0.406388922185456 0 2
0.49303985845195 0 2
0.41709126475853 1 2
0.611364066760685 0 2
0.422918608394266 0 2
0.538414623177757 1 2
0.647057392103941 0 2
0.381182458507079 0 2
0.447804560705295 0 2
0.40525346196691 1 2
0.594684323106289 0 2
0.643896602808272 1 2
0.375257587557299 0 2
0.412020678731573 1 2
0.412287907672731 0 2
0.761012020681707 0 2
0.673149455614264 1 2
0.577013915819326 1 2
0.399203937289574 0 2
0.534790693623143 0 2
0.719614230517588 1 2
0.460134811291038 1 2
0.431402567989929 1 2
0.479741711674676 0 2
0.41592208682824 0 2
0.435184729010291 1 2
0.429378268794624 1 2
0.472980051543692 0 2
0.4959488594179 0 2
0.462389783416667 1 2
0.513227645685622 0 2
0.475690974295687 0 2
0.367445205275914 0 2
0.402047229964689 0 2
0.460877895239958 0 2
0.484253433145514 1 2
0.437545773952389 0 2
0.477731439473546 0 2
0.487969284946787 1 2
0.416443063194065 0 2
0.438894757503024 0 2
0.576346601678603 0 2
0.387337975618133 1 2
0.392823959591811 0 2
0.638420551955375 1 2
0.589407079448697 0 2
0.416845231851217 1 2
0.505703939521001 0 2
0.379134122512358 1 2
0.401419390666394 0 2
0.422145123508293 0 2
0.654168155396822 0 2
0.373982268913898 0 2
0.418988391218193 0 2
0.394058827358504 0 2
0.41348348537589 1 2
0.433320632734244 0 2
0.432760039147077 0 2
0.411401279498057 1 2
0.470803231132921 0 2
0.493977079585042 1 2
0.421269509744327 0 2
0.837607017969973 0 2
0.400728264521861 0 2
0.40559638640105 0 2
0.37684650798753 1 2
0.393403015756359 1 2
0.389386694922591 1 2
0.431532816101389 1 2
0.449563339143482 1 2
0.422573334550568 0 2
0.439297561280862 0 2
0.635032171618983 0 2
0.474204720732283 1 2
0.619858852437608 1 2
0.43744505808134 1 2
0.466396983282886 0 2
0.498882023076121 0 2
0.401134215958554 0 2
0.38161601471549 0 2
0.509410046358325 1 3
0.423697504822456 1 3
0.441044559914299 1 3
0.478565051393077 0 3
0.345199081581381 1 3
0.284906238342772 1 3
0.304581969869529 1 3
0.666799314582941 1 3
0.344272952643131 1 3
0.344268857096984 1 3
0.455215907546539 1 3
0.387105507548767 1 3
0.596644972250286 1 3
0.343191070428191 1 3
0.841952582007196 1 3
0.339856871359927 1 3
0.33017738530685 1 3
0.30193762429364 1 3
0.305328736893955 1 3
0.416515538494169 0 3
0.422163532687506 1 3
0.365807009800706 1 3
0.359129897627207 0 3
0.434256579572356 0 3
0.747726369034505 1 3
0.341160283489886 1 3
0.989119625134953 1 3
0.443985293958246 0 3
0.324359560192408 1 3
0.332760305391245 1 3
0.298965491199958 1 3
0.454747407311818 1 3
0.640368914980229 1 3
0.471120372312662 1 3
0.324941354531776 1 3
0.541873668721293 0 3
0.413001509433447 1 3
0.297129568357046 1 3
0.463447976481708 1 3
0.391897372388035 1 3
0.625867453158289 1 3
0.438877773942064 1 3
