"rt" "resp"
0.820529023771367 1
0.692136878552861 1
0.592966424645625 1
0.590735447933699 0
0.801010095600854 1
0.599844877178846 1
0.601374107460785 1
0.687867917446583 1
0.748905001717365 1
0.610401780599831 0
0.616498624275371 1
0.559548134980966 0
0.708593933357881 1
0.590841027382951 1
0.61091044227751 1
0.56283281963221 0
0.53246724001744 1
0.79399613467158 1
0.615419500411256 0
0.764295440942023 0
0.611860020526616 1
0.552281278653277 1
0.612015052772821 1
0.559617629863743 0
0.560588634315537 1
0.719785438541326 1
0.756338737375689 1
0.589682476885563 1
0.61777667974852 1
0.696917319437526 0
0.912683341364844 0
0.670885465370777 0
0.784390289257504 1
0.676894352634757 1
0.679733486406968 0
0.53084376907069 0
0.729912989327648 0
0.914231907533386 1
0.550145908625186 1
0.522487917053986 0
0.645603389860714 1
0.883660514733665 0
0.564940542958445 1
0.591439407804713 1
0.873962375318985 0
0.604102080208175 0
0.664367028166677 1
0.588613341032203 1
0.76000516455367 1
0.755549835600385 1
0.538749542799437 0
0.62471623411678 1
0.584904511759888 1
0.594700726424272 1
0.767824823132282 0
0.666482047713794 0
0.642146841262944 1
0.663752045207664 1
0.70061477448026 1
0.601672505753772 0
0.549393105015559 1
0.568109643684588 1
0.726882993831179 0
0.665070697566599 1
0.779014066719512 0
0.5441771702276 1
0.554352183380017 1
0.804631905826613 1
0.791278278208713 0
0.619979976944869 0
0.882706644067024 1
0.822416923004005 1
0.583162303415779 0
0.91701016664536 0
0.5900200742595 1
0.636235625509809 0
0.562635730963235 0
0.554615501062933 0
0.562526968372823 1
0.868118962011206 0
0.643675594704382 0
0.596845758731038 1
0.539541313035379 0
0.846080384510295 1
0.738981812022234 1
0.650204256024357 0
0.558258869775213 0
0.832485236695947 1
0.595731408913533 0
0.638321594684934 1
0.961569139490254 1
0.525058051703842 0
0.608878494338298 1
0.592774654118382 1
0.575367537984181 1
0.779045053082725 1
0.59834598968791 0
0.577540654607174 0
1.00922048824479 1
0.557496675402048 1
